"Feature","Importance"
"EngagementScore",882.964833243771
"MonthlyIncome",880.373149560556
"MonthlyRate",872.390044720415
"DailyRate",850.422628292091
"Education",839.036228572563
"HourlyRate",787.175458209552
"YearsAtCompany",758.505851696409
"DistanceFromHome",724.050716699453
"MonthlyOvertimeHours",706.181235307241
"Department",537.300099746841
"Plant",509.560339684424
"EducationField",506.420002359868
"SatisfactionIndex",370.107104498277
"JobRole",363.256674529832
"JobInvolvement",256.086628308272
"JobSatisfaction",250.530873430092
"EnvironmentSatisfaction",247.320721878822
"TenureGroup",244.554336176817
"Shift",242.437442885095
"EngagementLevel",234.330491799724
"SafetyIncidents_12M",196.637818286756
"OvertimeLevel",139.45406746924
"DistanceCategory",136.520954808031
