"Feature","Gain","Cover","Frequency"
"EngagementScore",0.357087166771216,0.172250927462793,0.0959249909844933
"SatisfactionIndex",0.092592033124991,0.114135652501219,0.0688784709700685
"MonthlyOvertimeHours",0.0893393003960924,0.10229315265871,0.0879913451135954
"DistanceFromHome",0.0821153522931372,0.113735949434483,0.107104219257122
"MonthlyIncome",0.0694491212936271,0.0821848933125449,0.101334294987378
"MonthlyRate",0.0645042181116276,0.0900739529014258,0.111792282726289
"DailyRate",0.0579591191210914,0.0754100661398285,0.0973674720519293
"HourlyRate",0.0493817765725273,0.0468716549103357,0.0872701045798774
"YearsAtCompany",0.0476612936133432,0.0798426728606629,0.0861882437793004
"Education",0.0116961263611101,0.009588150871885,0.0227190768121168
"JobInvolvement",0.0102793449753744,0.0248845562722984,0.0191128741435269
"JobRoleOperator",0.00652706759678571,0.00937306580870927,0.0119004688063469
"DepartmentLogistics",0.00568901841066647,0.013649259484715,0.00901550667147494
"JobRoleTechnician",0.00511798182552609,0.00709340358433572,0.00793364587089794
"EducationFieldLife Sciences",0.00509129721399682,0.0077046228702905,0.00829426613775694
"JobRoleSupervisor",0.00430772083982187,0.0103798833850129,0.00576992426974396
"EducationFieldElectronics",0.00375120174438906,0.00577671686730502,0.00504868373602596
"DepartmentAssembly B",0.00360341712206204,0.00166538754103129,0.00504868373602596
"PlantDensoten Bawal (Car Infotainment)",0.00353005346507346,0.00372471873928665,0.00540930400288496
"EducationFieldMechanical",0.0034793582630443,0.00191596740906014,0.00613054453660296
"DepartmentPackaging",0.00337841047484924,0.00529970857669379,0.00576992426974396
"DepartmentQuality Control",0.00333608055733203,0.00220246255588573,0.00540930400288496
"DepartmentMaintenance",0.00298942816172727,0.00120983821793996,0.00576992426974396
"EducationFieldOther",0.00284816288280665,0.00393624940537956,0.00540930400288496
"Plant4W Lighting Manesar",0.00255843834180111,0.000456474272561656,0.00432744320230797
"DepartmentTool Room",0.002520492184976,0.00128574861941196,0.00396682293544897
"PlantAW4W Bawal (Alloy Wheels)",0.00215228144605766,0.0035213335470907,0.00432744320230797
"EducationFieldIndustrial",0.00204865218225025,0.00272029421779101,0.00360620266858997
"PlantSwitch Manesar",0.00192730104518903,0.000144917978679455,0.00324558240173098
"JobRoleInspector",0.00160953407142876,0.0063389985319582,0.00432744320230797
"Plant4W Lighting Pune",0.00146924953607886,0.000329319060675984,0.00360620266858997
