"Model","Accuracy","Kappa","Precision","Recall","F1","Specificity","ROC_AUC","Rank"
"Random_Forest",1,1,1,1,1,1,1,1
"Gradient_Boosting",1,1,1,1,1,1,1,2
"XGBoost",1,1,1,1,1,1,1,3
"SVM",0.966096609660966,0.87735817415166,0.897404948702474,0.897946859903382,0.897675822517356,0.979623636581565,0.990305086679162,4
"Elastic_Net",0.930593059305931,0.73676347380417,0.828103683492497,0.733091787439614,0.777706598334401,0.969795037756203,0.968324207687199,5
"Logistic_Regression",0.931693169316932,0.741917808964631,0.828494260634706,0.740942028985507,0.782276059929869,0.969555315833633,0.968306474634352,6
"LDA",0.903490349034903,0.655224477208184,0.702165008777062,0.72463768115942,0.713224368499257,0.938990770705981,0.966123716778392,7
"Decision_Tree",0.939093909390939,0.807932299867914,0.73112582781457,1,0.844682478959449,0.92700467457749,0.96491548065114,8
"Naive_Bayes",0.891089108910891,0.52235993580823,0.803858520900321,0.452898550724638,0.579374275782155,0.978065444084862,0.954104181178818,9
"KNN",0.926792679267927,0.711975146163621,0.848942598187311,0.678743961352657,0.754362416107383,0.976027807743018,0.944671680850214,10
