"Model","Accuracy","Precision","Recall","F1_Score","ROC_AUC"
"LDA",0.834683468346835,0.580246913580247,0.0282112845138055,0.0538065254722381,0.684689116256127
"Logistic_Regression",0.834483448344834,0.566265060240964,0.0282112845138055,0.0537449971412236,0.684621694591673
"Gradient_Boosting",0.833383338333833,0.5,0.0114045618247299,0.0223004694835681,0.680680912710698
"Elastic_Net",0.833783378337834,0.583333333333333,0.00840336134453781,0.0165680473372781,0.682648674494399
"KNN",0.832083208320832,0.341463414634146,0.00840336134453781,0.0164030462800234,0.56620605760605
"XGBoost",0.833783378337834,0.833333333333333,0.00300120048019208,0.00598086124401914,0.678872809174072
"Random_Forest",0.833183318331833,0.4,0.00240096038415366,0.00477326968973747,0.651559255647537
"Decision_Tree",0.833383338333833,NA,0,NA,0.5
"Naive_Bayes",0.833383338333833,NA,0,NA,0.670742123802599
"SVM",0.833383338333833,NA,0,NA,0.533120244377602
