"Precision","Recall","Threshold","Model"
0.169848111658456,0.993397358943577,0.05,"Random Forest"
0.174230232807639,0.974789915966387,0.06,"Random Forest"
0.174230232807639,0.974789915966387,0.07,"Random Forest"
0.177627942964519,0.964585834333733,0.08,"Random Forest"
0.180742272779501,0.944177671068427,0.09,"Random Forest"
0.183995186522262,0.917767106842737,0.1,"Random Forest"
0.188722089062697,0.897959183673469,0.11,"Random Forest"
0.19762109486959,0.827731092436975,0.12,"Random Forest"
0.19762109486959,0.827731092436975,0.13,"Random Forest"
0.202437895386514,0.787515006002401,0.14,"Random Forest"
0.214466546112116,0.711884753901561,0.15,"Random Forest"
0.214466546112116,0.711884753901561,0.16,"Random Forest"
0.221456692913386,0.675270108043217,0.17,"Random Forest"
0.224807856532878,0.632052821128451,0.18,"Random Forest"
0.231564114607797,0.591836734693878,0.19,"Random Forest"
0.237935483870968,0.553421368547419,0.2,"Random Forest"
0.253868013893274,0.482593037214886,0.21,"Random Forest"
0.260427620049071,0.445978391356543,0.22,"Random Forest"
0.260427620049071,0.445978391356543,0.23,"Random Forest"
0.262665627435698,0.404561824729892,0.24,"Random Forest"
0.270199826238054,0.373349339735894,0.25,"Random Forest"
0.279823269513991,0.342136854741897,0.26,"Random Forest"
0.287317620650954,0.307322929171669,0.27,"Random Forest"
0.28997461928934,0.274309723889556,0.28,"Random Forest"
0.301529497450838,0.248499399759904,0.29,"Random Forest"
0.305988515176374,0.223889555822329,0.3,"Random Forest"
0.315157116451017,0.2046818727491,0.31,"Random Forest"
0.324973876698015,0.186674669867947,0.32,"Random Forest"
0.330143540669856,0.165666266506603,0.33,"Random Forest"
0.340689655172414,0.148259303721489,0.34,"Random Forest"
0.345104333868379,0.129051620648259,0.35,"Random Forest"
0.342056074766355,0.10984393757503,0.36,"Random Forest"
0.362186788154898,0.095438175270108,0.37,"Random Forest"
0.364383561643836,0.0798319327731092,0.38,"Random Forest"
0.351097178683386,0.0672268907563025,0.39,"Random Forest"
0.356589147286822,0.0552220888355342,0.4,"Random Forest"
0.36150234741784,0.046218487394958,0.41,"Random Forest"
0.357142857142857,0.0360144057623049,0.42,"Random Forest"
0.401515151515151,0.031812725090036,0.43,"Random Forest"
0.394230769230769,0.024609843937575,0.44,"Random Forest"
0.397435897435897,0.0186074429771909,0.45,"Random Forest"
0.426229508196721,0.0156062424969988,0.46,"Random Forest"
0.395833333333333,0.0114045618247299,0.47,"Random Forest"
0.414634146341463,0.0102040816326531,0.48,"Random Forest"
