"Model","Threshold","Accuracy","Precision","Recall","F1","Specificity"
"Random Forest",0.1,0.308130813081308,0.183995186522262,0.917767106842737,0.306535685645549,0.186247449897996
"Random Forest",0.15,0.517551755175518,0.214466546112116,0.711884753901561,0.329627570872707,0.478699147965919
"Random Forest",0.2,0.63026302630263,0.237935483870968,0.553421368547419,0.33279191481682,0.645625825033001
"Random Forest",0.25,0.727572757275728,0.270199826238054,0.373349339735894,0.313508064516129,0.798391935677427
"Random Forest",0.3,0.793379337933793,0.315157116451017,0.2046818727491,0.248180494905386,0.911076443057722
"Random Forest",0.35,0.814081408140814,0.345104333868379,0.129051620648259,0.18785495849716,0.951038041521661
"Random Forest",0.4,0.825982598259826,0.356589147286822,0.0552220888355342,0.0956340956340956,0.980079203168127
"Random Forest",0.45,0.832483248324832,0.426229508196721,0.0156062424969988,0.0301100173711639,0.99579983199328
"Random Forest",0.5,0.833183318331833,0.45,0.00540216086434574,0.0106761565836299,0.998679947197888
"Random Forest",0.55,0.833383338333833,0.5,0.00120048019207683,0.00239520958083832,0.999759990399616
"Random Forest",0.6,0.833383338333833,NA,0,NA,1
"Random Forest",0.65,0.833383338333833,NA,0,NA,1
"Random Forest",0.7,0.833383338333833,NA,0,NA,1
"Random Forest",0.75,0.833383338333833,NA,0,NA,1
"Random Forest",0.8,0.833383338333833,NA,0,NA,1
"Random Forest",0.85,0.833383338333833,NA,0,NA,1
"Random Forest",0.9,0.833383338333833,NA,0,NA,1
"Gradient Boosting",0.1,0.356335633563356,0.196950444726811,0.930372148859544,0.32508389261745,0.241569662786511
"Gradient Boosting",0.15,0.561656165616562,0.233051680094321,0.711884753901561,0.351147298297557,0.531621264850594
"Gradient Boosting",0.2,0.700570057005701,0.277777777777778,0.498199279711885,0.35668242372153,0.741029641185647
"Gradient Boosting",0.25,0.771577157715772,0.31452581032413,0.31452581032413,0.31452581032413,0.862954518180727
"Gradient Boosting",0.3,0.809180918091809,0.357981220657277,0.183073229291717,0.242255758538523,0.934357374294972
"Gradient Boosting",0.35,0.828182818281828,0.435,0.104441776710684,0.168441432720232,0.972878915156606
"Gradient Boosting",0.4,0.833283328332833,0.496644295302013,0.0444177671068427,0.0815426997245179,0.990999639985599
"Gradient Boosting",0.45,0.834383438343834,0.604166666666667,0.017406962785114,0.0338389731621937,0.997719908796352
"Gradient Boosting",0.5,0.834083408340834,0.733333333333333,0.00660264105642257,0.0130874479476502,0.999519980799232
"Gradient Boosting",0.55,0.833583358335834,0.75,0.00180072028811525,0.00359281437125748,0.999879995199808
"Gradient Boosting",0.6,0.833383338333833,NA,0,NA,1
"Gradient Boosting",0.65,0.833383338333833,NA,0,NA,1
"Gradient Boosting",0.7,0.833383338333833,NA,0,NA,1
"Gradient Boosting",0.75,0.833383338333833,NA,0,NA,1
"Gradient Boosting",0.8,0.833383338333833,NA,0,NA,1
"Gradient Boosting",0.85,0.833383338333833,NA,0,NA,1
"Gradient Boosting",0.9,0.833383338333833,NA,0,NA,1
"XGBoost",0.1,0.422242224222422,0.205979116006294,0.864345738295318,0.332678757075199,0.333853354134165
"XGBoost",0.15,0.581458145814581,0.235454736399916,0.672869147659064,0.348840827757896,0.563182527301092
"XGBoost",0.2,0.691869186918692,0.274322169059011,0.516206482593037,0.358258696104978,0.726989079563182
"XGBoost",0.25,0.757675767576758,0.305996924654024,0.358343337334934,0.330107824163671,0.837513500540022
"XGBoost",0.3,0.793379337933793,0.328178694158076,0.229291716686675,0.269964664310954,0.90615624624985
"XGBoost",0.35,0.815081508150815,0.357698289269051,0.138055222088836,0.199220441749675,0.950438017520701
"XGBoost",0.4,0.828182818281828,0.420245398773006,0.0822328931572629,0.137550200803213,0.977319092763711
"XGBoost",0.45,0.831683168316832,0.448484848484848,0.0444177671068427,0.0808301474604042,0.989079563182527
"XGBoost",0.5,0.832383238323832,0.410714285714286,0.0138055222088836,0.0267131242740999,0.996039841593664
"XGBoost",0.55,0.833683368336834,0.588235294117647,0.00600240096038415,0.011883541295306,0.999159966398656
"XGBoost",0.6,0.833483348334834,0.666666666666667,0.00120048019207683,0.00239664469742361,0.999879995199808
"XGBoost",0.65,0.833383338333833,NA,0,NA,1
"XGBoost",0.7,0.833383338333833,NA,0,NA,1
"XGBoost",0.75,0.833383338333833,NA,0,NA,1
"XGBoost",0.8,0.833383338333833,NA,0,NA,1
"XGBoost",0.85,0.833383338333833,NA,0,NA,1
"XGBoost",0.9,0.833383338333833,NA,0,NA,1
